,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,103_number_own_fridges,145_number_direct_competitors,24_burnout,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,315_frequency_topups,316_frequency_utility_bills,317_home_deliveries,62_frequency_only_services,78_number_home_deliveries_week,172_supplier_frequency,163_number_high_perishable_products
113,0.0,1.0,1.0,0.0,0.0,0.0,8.0,2.0,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,2.0,20.0
114,1.0,0.0,1.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
115,2.0,3.0,0.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
116,2.0,0.0,3.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
117,0.0,0.0,2.0,0.0,0.0,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
118,2.0,1.1,4.0,1.2,4.0,1.4,1.0,4.2,1.0,12.7,1.2,7.0,28.5,4.5,1.9,2.0,7.0,30.0
119,2.0,1.1,4.0,3.0,3.0,1.4,1.0,7.0,1.0,12.7,1.2,7.0,7.0,7.0,7.0,2.0,7.0,30.0
120,1.0,1.0,1.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
121,1.0,1.0,1.0,1.2,1.3,1.4,3.2,4.2,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,3.0,5.5
122,1.0,0.0,7.0,1.0,1.0,1.4,2.0,4.0,1.0,12.7,1.2,3.3,28.5,4.5,1.9,2.0,4.0,5.5
